MeanSpectrum,MaxSpectrum,DominantFrequencyIndex
0.00029734242201443764,0.008083242424242423,0
0.00035328911458707026,0.016534636363636362,0
0.0003642090843015486,0.005796151515151515,1
0.00037687687069008324,0.012217212121212122,0
0.00039898702394200285,0.009499212121212122,0
0.0003017394145404354,0.007930030303030303,0
0.0003143127570195528,0.006691000000000001,0
0.0007030242774395862,0.03642593939393939,0
0.0003692295623741423,0.00944159201486321,1
0.000531694918107999,0.020734212121212122,0
0.00031864070827937067,0.0046911212121212124,1
0.00030105456633751164,0.005363212121212121,0
0.0003664827311941916,0.011664454545454544,0
0.0003097588074013591,0.008905212121212121,0
0.00034909793262362875,0.008893545454545456,0
0.0003988644281892205,0.011619909090909092,0
0.0003686375776764167,0.009020424242424241,0
0.0003544721468691437,0.009501556574387884,2
0.00034051951255997153,0.014040636363636363,0
0.00032449944023035733,0.008187393939393939,0
0.0003812887353045533,0.01493448484848485,0
0.00032967406508531655,0.01145381818181818,0
0.0003968336797796855,0.014870363636363635,0
0.0003072637282708049,0.004849030303030305,0
0.00035936351812351124,0.006498424242424241,1
0.0003290535096808232,0.007754515151515152,0
0.00030003701195320515,0.005163333333333332,2
0.00029569164685540593,0.010160272727272728,0
0.00032930564170078344,0.008260636363636364,0
